               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.029484,            0.016702,           0.0022306,             0.92729,             0.90278,             0.94699,              0.6617,            0.022586,           0.0075454,           0.0014131,            0.002674,            0.002674,            0.002674
                 113,            0.029462,            0.016977,           0.0022498,              0.9267,             0.90282,             0.94539,             0.66248,            0.022603,           0.0075503,           0.0013955,            0.002608,            0.002608,            0.002608
                 114,            0.029021,            0.016726,           0.0019853,              0.9314,              0.8951,             0.94508,              0.6623,             0.02257,           0.0075184,            0.001392,            0.002542,            0.002542,            0.002542
                 115,            0.029027,            0.016648,           0.0021241,             0.92053,             0.90493,             0.94493,             0.66327,            0.022518,           0.0074949,           0.0013868,            0.002476,            0.002476,            0.002476
                 116,            0.029129,            0.016715,            0.002115,             0.93918,               0.891,              0.9462,              0.6655,            0.022461,           0.0074797,            0.001399,             0.00241,             0.00241,             0.00241
                 117,            0.029065,            0.016631,           0.0022123,             0.91649,             0.91615,             0.94636,             0.66809,             0.02241,            0.007464,           0.0013728,            0.002344,            0.002344,            0.002344
                 118,            0.028872,              0.0167,            0.002051,             0.92101,             0.91223,             0.94597,              0.6665,            0.022391,           0.0074903,             0.00135,            0.002278,            0.002278,            0.002278
                 119,            0.028862,            0.016689,           0.0020546,              0.9203,             0.92063,             0.94737,             0.66736,            0.022304,           0.0074874,           0.0013658,            0.002212,            0.002212,            0.002212
                 120,            0.028761,            0.016617,           0.0020469,             0.91405,             0.91991,             0.94957,             0.66661,             0.02225,           0.0074783,           0.0013813,            0.002146,            0.002146,            0.002146
                 121,            0.028528,            0.016478,           0.0020852,             0.91574,             0.92029,             0.94824,             0.66763,            0.022217,           0.0074639,            0.001381,             0.00208,             0.00208,             0.00208
                 122,            0.028757,            0.016555,           0.0021128,             0.94876,             0.89555,             0.94978,             0.66804,            0.022198,           0.0074566,           0.0013616,            0.002014,            0.002014,            0.002014
                 123,            0.028661,            0.016533,            0.002052,             0.94736,             0.89529,             0.94875,             0.66922,            0.022141,           0.0074536,           0.0013637,            0.001948,            0.001948,            0.001948
                 124,            0.028419,            0.016111,           0.0020651,             0.94936,             0.89697,             0.94834,             0.66998,            0.022102,           0.0074289,           0.0013563,            0.001882,            0.001882,            0.001882
                 125,            0.028199,            0.016343,            0.002009,             0.94873,             0.89522,             0.94692,             0.66867,            0.022109,           0.0074251,           0.0013613,            0.001816,            0.001816,            0.001816
                 126,            0.028192,            0.016307,           0.0019491,             0.94526,             0.89756,             0.94792,             0.67129,            0.022099,           0.0074216,           0.0013402,             0.00175,             0.00175,             0.00175
